,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
330,24,sub-0079_ses-03_run-06-cognitive_ev-rating-0nan,79,3,6,cognitive,rating,,"[-1633022118.1716797, -1633022096.0801098, -1633022088.7773798, -1633022065.48536, -1633022055.5816698, -1633022036.3745098, -1633022019.6849499, -1633021999.77753, -1633021989.8738298, -1633021967.28207, -1633021949.2753599, -1633021922.5820699, -1633021914.2789698, -1633021888.4860198, -1633021879.88282, -1633021850.2884398, -1633021843.48591, -1633021824.77893, -1633021812.3909798, -1633021795.48467, -1633021787.2816098, -1633021766.2904499, -1633021756.2700498, -1633021738.1799698]","[1.30072903633118, 2.63443398475647, 3.73706865310669, 4.0, 2.0175621509552, 3.418123960495, 3.784971952438352, 3.871583461761471, 2.14132308959961, 1.7340986728668202, 3.05367469787598, 2.86792778968811, 4.0, 2.0740945339202903, 3.5014460086822496, 2.2010376453399703, 3.95417404174805, 2.97083926200867, 3.39150738716125, 3.584885597229, 2.15108251571655, 4.0, 4.0, 3.4354038238525404]",1,False,,,,,,,
331,25,csf,79,3,6,cognitive,,,,,,False,,,,,,,
332,26,white_matter,79,3,6,cognitive,,,,,,False,,,,,,,
333,27,trans_x,79,3,6,cognitive,,,,,,False,,,,,,,
334,28,trans_y,79,3,6,cognitive,,,,,,False,,,,,,,
335,29,trans_z,79,3,6,cognitive,,,,,,False,,,,,,,
336,30,rot_x,79,3,6,cognitive,,,,,,False,,,,,,,
337,31,rot_y,79,3,6,cognitive,,,,,,False,,,,,,,
338,32,rot_z,79,3,6,cognitive,,,,,,False,,,,,,,
339,33,dummy,79,3,6,cognitive,,,,,,False,,,,,,,
